Unnamed: 0,smiles,MW,clogp,tpsa,qed,bcl2,bclw,bclxl,mcl1,SAs,gsk3b,jnk3
222,COc1nc(Nc2c(C)cc(C)cc2C)nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)n1,511.236558916,3.272960000000001,135.36,0.4162029535482318,5.971881866455078,6.544950485229492,6.522915363311768,5.530402183532715,2.601692524543271,0.17,0.07
223,O=[N+]([O-])c1cn2c(n1)OCC(NC(CCO)c1ccc(OC(F)(F)F)cc1)C2,402.115104304,2.1642,111.68,0.5392176155949453,5.605020999908447,6.177044868469238,5.406946659088135,5.292174339294434,3.739803838179828,0.04,0.03
224,CC(=O)c1ccc2ncc(C(=O)O)c(O)c2c1,231.053157768,1.8412,87.49000000000001,0.769754488752761,3.943408489227295,3.887425422668457,3.496727466583252,4.446357727050781,2.167664909599754,0.0,0.01
225,CNCCNc1ccc2c3c(nn2CCN)-c2c(O)ccc(O)c2C(=O)c13,367.164439532,1.2488999999999997,125.43,0.2564383749073576,6.516081809997559,5.650649070739746,5.629000186920166,7.739487171173096,2.932646812040451,0.14,0.02
226,Cc1ccc(OC(C)C(=O)Nc2ccncc2)cc1,256.121177752,2.7960200000000013,51.22,0.9147288024944482,4.334321975708008,4.096481323242188,3.601073741912842,4.37702751159668,2.123252014443876,0.02,0.0
227,Cc1oc(-c2ccccc2)cc1C(=O)Nc1ccc(N(C)C)cc1,320.15247788,4.5733200000000025,45.48,0.7654716815986933,4.563759803771973,4.379884719848633,4.121416568756104,5.48570442199707,1.907201356026217,0.01,0.0
228,O=C(c1ccc(O)c(F)c1)N(c1ccc(O)cc1)c1ccc(O)cc1,339.090686148,3.921000000000001,81.0,0.6754507595279704,5.209074020385742,5.127578258514404,4.843410968780518,5.300477027893066,2.189728598814005,0.02,0.0
229,CCCC1=NN2C(=N)C(=Cc3cc(C)n(Cc4ccccc4)c3C)C(=O)N=C2S1,405.162331356,4.572510000000004,73.81,0.740535887475575,4.787914752960205,4.607376575469971,4.286466121673584,5.217100620269775,2.7541913755549974,0.0,0.01
230,CC1CCCN(C(=O)c2ccc(NS(=O)(=O)c3cccc([N+](=O)[O-])c3)cc2)C1,403.120191772,3.2677000000000014,109.62,0.6085580342798065,5.520395278930664,5.673039436340332,5.318911075592041,5.233061790466309,2.475548485404508,0.0,0.1
231,COc1cccc(C=NNC(=O)c2cc(-c3cccn3C)[nH]n2)c1,323.13822478400004,2.1877000000000004,84.3,0.557421038904414,4.4487624168396,4.514601707458496,4.417821407318115,4.602396965026856,2.531230128404733,0.03,0.01
232,CN(C)c1ccc(NC(=O)CSc2nc3cccnc3[nH]2)cc1,327.11538116400004,2.7547000000000006,73.91,0.7049774851003148,5.63609504699707,4.997257232666016,4.439807891845703,5.472830772399902,2.210395017729077,0.1,0.02
233,CCCCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2ccc(NCCCO)c(N)n2)cc1,518.2448540400001,6.864300000000009,85.33,0.1681835449290906,5.450605392456055,5.816552639007568,5.189672470092773,6.038071632385254,2.652034471578718,0.16,0.01
234,COc1cc(-c2cc(=O)c3cc(Cl)ccc3o2)ccc1O,302.03458651200003,3.8276000000000017,59.67,0.781353403182917,5.905477046966553,4.918155670166016,5.060847282409668,5.197797775268555,2.051620413130996,0.11,0.37
235,COc1ccc(-n2nnnc2SCC(=O)c2cccc(OC)c2)cc1,356.09431137199994,2.6545000000000005,79.13000000000001,0.4754901696028114,3.659314870834351,3.7700581550598153,3.4695522785186768,4.219735145568848,1.973572390022797,0.0,0.0
236,COc1ccc(C(C)N(C)Cc2c(C(C)C)[nH]c3ncccc23)cc1,337.215412484,4.887900000000005,41.15,0.6962133889746158,5.593379020690918,5.891838073730469,5.405238628387451,5.85936164855957,2.944047274128966,0.2,0.03
237,CN1CCC(C=CC=C2Cc3ccccc3C2=O)CC1,267.162314292,3.2498000000000022,20.31,0.766644489957538,3.1817593574523926,3.758159875869751,3.211209297180176,3.963350296020508,2.7581516044100063,0.03,0.01
238,COc1cc2cc(-c3ccc(CN(C)Cc4ccc(C)cc4)cc3)c(=O)oc2cc1OC,429.194008344,5.417620000000006,51.91,0.3674053479102847,5.39304780960083,5.834305286407471,6.015758514404297,5.455837249755859,2.17396495456838,0.04,0.0
239,C=CCN(CC#CC)C(=O)C1(c2ccc3c(c2)CCO3)CC1CN,324.18377800800005,1.8758,55.56,0.6419627913977523,6.148208618164063,5.862510681152344,5.502069473266602,6.846597194671631,3.998948885185568,0.06,0.04
240,Cc1ccccc1CC(=O)N1CCCc2ccccc21,265.146664228,3.5169200000000025,20.31,0.8133057473186552,3.226050853729248,3.743748188018799,3.018149852752685,4.041335105895996,1.810126935974992,0.0,0.0
241,CCOC(=O)C=CC(CC(C)C)NC(=O)C(C)NC(=O)C(NC(=O)c1ccccc1)C(C)C,459.273321284,2.595900000000001,113.6,0.3284266636610978,4.720393180847168,4.540771961212158,3.918205976486206,5.27110481262207,3.287980290089042,0.01,0.01
