Unnamed: 0,smiles,MW,clogp,tpsa,qed,bcl2,bclw,bclxl,mcl1,SAs
367,Cc1sc2nc(SCC(=O)N3CCN(S(=O)(=O)c4cccc([N+](=O)[O-])c4)CC3)n(C)c(=O)c2c1C,537.081046456,2.1452400000000003,135.72000000000003,0.2019574348538231,5.764204978942871,5.743056297302246,5.403824329376221,5.987676620483398,2.5674948320200954
368,Cc1ccc(NS(=O)(=O)c2ccc(NCC(=O)N3CCN(CC(=O)NC(C)C)CC3)c([N+](=O)[O-])c2)c(C)c1,546.2260538080001,2.093140000000001,153.99,0.3023936136890586,5.277745723724365,6.323966026306152,5.906789302825928,5.209957122802734,2.4818454343424445
369,CCN(CC)S(=O)(=O)c1ccc(OCC(=O)N2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)c([N+](=O)[O-])c1,574.0958835039999,2.1906000000000008,147.44,0.3096738673742359,6.134685039520264,5.935125827789307,6.731572151184082,5.233879089355469,2.4191526186486385
370,O=C(NCCCn1cnc2ccccc21)C1CCN(c2ccc(S(=O)(=O)N3CCOCC3)cc2[N+](=O)[O-])CC1,556.2104037439999,2.388299999999999,139.91000000000005,0.240750905881376,5.058783054351807,6.054820537567139,5.034430503845215,4.960378170013428,2.5865725946866807
371,CC(=O)N1CCN(c2ccc(C(=O)NC3CCN(S(=O)(=O)c4ccc(C)cc4)CC3)cc2[N+](=O)[O-])CC1,529.1995047119999,2.15482,133.17000000000002,0.4477665489962663,5.621479511260986,5.906613349914551,5.517785549163818,5.724231719970703,2.3590566906988606
372,CCN(CC)S(=O)(=O)c1ccc(CCC(=O)N2CCN(S(=O)(=O)c3cccc([N+](=O)[O-])c3)CC2)cc1,538.1555913,2.091,138.21,0.3334278794502188,5.7005767822265625,5.796627998352051,6.007266521453857,5.532636642456055,2.3595333332395256
373,CCOC(=O)c1ccc(S(=O)(=O)N2CCN(C(=O)c3ccc(NC4CC4)c([N+](=O)[O-])c3)CC2)cc1,502.152220172,2.4925000000000006,139.16000000000005,0.3299631013413104,5.5606865882873535,5.407194137573242,5.728560447692871,5.037555694580078,2.273903436302412
374,COCCOc1cc([N+](=O)[O-])c(C(=O)N2CCN(S(=O)(=O)c3ccc(F)cc3F)CC2)cc1OC,515.1173921359999,2.0535,128.51999999999995,0.2820237830500252,5.151129245758057,4.630600452423096,5.050987720489502,4.480132102966309,2.442130889712404
375,CCN(CC)S(=O)(=O)c1ccc(OCC(=O)N2CCN(C(=O)c3cccs3)CC2)c([N+](=O)[O-])c1,510.124291172,2.0502,130.37,0.3726924608126392,6.254833698272705,5.877956867218018,6.528398036956787,5.11224365234375,2.437420044959841
376,CC1CCC2(CC1)NC(=O)N(CC(=O)Nc1ncc(S(=O)(=O)c3ccc([N+](=O)[O-])cc3)s1)C2=O,507.0882400119999,2.3233,168.68,0.3409103818029301,4.76949405670166,5.12418794631958,4.629790306091309,5.109604835510254,3.182009040592785
